"En,sinhala"
"afire,ගිනිගත් "
"aflame,ඇවිලගත් "
"afloat,පාවෙන "
"afoot,අරඹා "
"afore,කල් ඇතිව "
"aforementioned,ඉහතකී "
"aforesaid,ඉහත කී "
"aforethought,කලින් සිතූ "
"aforetime,පුරාණයේදී "
"afraid,භය "
"afresh,අභිනවයෙන් "
"afro,අප්‍රිකානු"
"aft,නැවේ අවරයේ පසු භාගයට"
"after burning,පිළිස්සීමෙන් පසුව"
"after-ages,මතු පරම්පරා"
"after-bay,පසුවැව"
"after-birth,ගැබ් මල "
"after-blow,පසු පිඹුම"
"after-effect,පශ්චාත් ආවරණය "
"after-glow,අස්තාලෝකය "
"after-math,ආනිසංසය "
"after-most,ඉතා පස්සෙහි වූ"
"after-noon,පස්වරුව"
"after-piece,පසු රැඟුම"
"after-ripening,පශ්චාත් පරිණතිය"
"after-sensation,පසු විඳුම "
"after-thought,පසු කල්පනාව "
"after-ward,අනතුරුව "
"after-wards,අනතුරුව "
"after-word,පසුවදන"
"after-world,පරලොව"
"after,මතු "
"afterbirth,ගැබ මල "
"aftercare,පසු සාත්තුව"
"afterdamp,පතල් විෂ වායු "
"aftereffect,පශ්චාත්ඵලය"
"afterglow,පසු දිලියුම"
"afterimage,පශ්චාත් ප්‍රතිබිම්බය"
"afterlife,ඊළඟ උපත "
"aftermath,ආනිසංසය "
"afternoon,අපරභාගය "
"afterthought,පසු කල්පනාව "
"afterwards,පස්සේ "
"afterword,පසුවදන"
"again,නැවත "
"against,විරුද්ධව "
"agape,කට ඇරගෙන "
"agar,මුහුදු ශාක වලින් පිළියෙල කරගන්නා ජෙලටින වර්ගයක්"
"agate,අගස්ති "
"age-group,වයස් ගණය"
"age-hardening,විය දැඩියම"
"age-old,පුරාණ "
"age,වයස "
"aged,පැරණි "
"ageing,පැරණි "
"ageism,වයසට වෙනස්කම් කිරීම"
"ageless,කවදාවත් නාකි නොවන "
"agency,නියෝජිත ආයතනය "
"agenda,න්‍යායපත්‍රය "
"agent,ඒජන්ත "
"agglomerate,කැටි කරනවා හෝ වෙනවා "
"agglomerated,ආකීර්ණ ජනාවාසය"
"agglomeration,පිණ්ඩය "
"agglutinant,ගම් මෙන් එකට ඇලී සිටීම"
"agglutinate,අලවනවා "
"agglutinated,අලුත් සමාස බහුල හෙවත් සංශ්ලිෂ්ට"
"agglutination,අලුත් සමාස බහුල හෙවත් සංශ්ලිෂ්ට"
"agglutinative,අලුත් සමාස බහුල හෙවත් සංශ්ලිෂ්ට"
"aggrandise,වැඩි කරනවා "
"aggrandize,අලංකාර කරනවා "
"aggrandizement,උසස් කිරීම "
"aggravate,බරපතළ කරනවා "
"aggravating,බරපතළ වෙමින් පවතින "
"aggravation,බරපතළ වෙමින් පවතින "
"aggregate,එකතු කරනවා "
"aggregated,සමුහස්ථ "
"aggregates,සංස්කාර "
"aggregation,ඒකරාශි කිරීම "
"aggress,ආක්‍රමණය කරනවා "
"aggression,ආක්‍රමණය "
"aggressive,ආක්‍රමණශීලී "
"aggressiveness,ආක්‍රමණකාරීත්වය "
"aggressor,ආක්‍රමණිකයා"
"aggrieve,දුකට පත් වෙනවා "
"aggrieved,අතෘප්ත "
"aghast,ත්‍රස්ත වූ "
"agile,ඉක්මන් "
"agility,කඩිසර බව "
"aging,ඇවෑම "
"aging,පැරණි "
"aging,වයස් ගත "
"agitate,කලතනවා "
"agitated,වික්ෂිප්ත "
"agitation,ආන්දෝලනය "
"agitator,කලබල කරන්නා "
"aglow,දීප්තිමත් "
"agnail,නියපොත්තෙහි ඉරී ගිය සම"
"agnate,පියපස නෑයා "
"agnates,පුංඥාතීහු "
"agnatic,පියපස නෑදෑ"
"agnation,පියපස නෑකම "
"agnostic,නාස්තික දෘෂ්ටිකයා"
"agnosticism,අඥෙය වාදය"
"ago,අතීතය "
"agog,කලබල සහිත "
"agonic,අකෝණික "
"agonise,බලවත් වේදනා උපදවනවා"
"agonising,දුක් උපදවන"
"agony,කටුක වේදනාව "
"agoraphobia,පිරිසක් සිටින හෝ රැස්වන තැනක සිටීමට ඇති බිය"
"agrarian,කෘෂිකාර්මික "
"agree,එකඟ වෙනවා "
"agreeability,එකඟ විය හැකි බව "
"agreeable,අනුකූල "
"agreeableness,මනාපතාව"
"agreeably,අභිමත සේ "
"agreeing,එකඟ වන "
"agreement,කැමැත්ත "
"agribusiness,කෘෂිව්‍යාපාරය"
"agricultural,කෘෂිකර්මය "
"agriculturalist,ගොවියා"
"agriculture,කෘෂිකර්මය "
"agriculturist,කෘෂිකාර්මිකයා "
"agro-chemical,කෘෂිරසායන"
"agrochemical,කෘෂිරසායන"
"agrology,කෘෂිපාංශු විද්‍යාව"
"agronomics,පාංශු කළමනාකරණ විද්‍යාව"
"agronomy,පාංශු කළමනාකරණ විද්‍යාව"
"aground,නොගැඹුරු දියෙහි ගොඩ ඇණුනු "
"ague-cake,බඩදිව ඉදිමීම"
"ague,ගැහෙන හෝ වෙවුලන උණ "
"ah,අනේ "
"aha,අහා "
"ahead,ඉදිරියට "
"ahem,ඇහුණ ද "
"ahimsa,අහිංසාව"
"ahoy,ඕයි "
"aid,උපකාරය "
"aide-de-camp,ආරක්ෂක නිලධාරියා "
"aide-memoire,මතක සන්දේශය "
"aide,පුද්ගලික සහායක"
"aider,ආධාරකාරයා "
"aidless,අසරණ "
"aids,ඒඩ්ස්"
"ail,අමාරුවෙන් පසු වෙනවා "
"aileron,පාර්ශ්වික සමබරතාවය පාලනය කිරීම සඳහා ගුවන් යානා තටු"
"ailing,අසනීපයෙන් පසුවන "
"ailment,අපහසුව "
"aim,අදහස "
"aiming,ඉලක්කයකට එල්ල කිරීම "
"aimless,අරමුණක් නැති "
"aimlessly,ඉබාගාතේ "
"air-arm,ගුවන් ප්‍රහාරක කණ්ඩායම"
"air-base,ගුවන් නැව් කඳවුර"
"air-brick,කුහර ගඩොල "
"air-cleaner,වායු ශෝධකය"
"air-compressor,වායුසම්පීඩකය"
"air-conditioning,වායුසමීකරණය"
"air-cooling,වාතයෙන් නිවීම"
"air-current,වාත ප්‍රවාහය"
"air-cushion,වාත කොට්ටය"
"air-damping,වාත පරිමන්දනය"
"air-ejector,වා නෙරපනය"
"air-exhauster,වා පිටකුරුව"
"air-filter,වා පෙරහන"
"air-gap,වා හිඩැස"
"air-gun,සුළං තුවක්කුව"
"air-intake,වාත චූෂණය"
"air-less,නිර්වායු "
"air-lock,වා ඇවුරුම"
"air-power,ගුවන් බලය"
"air-pressure,වායු පීඩනය"
"air-raid,ගුවන් ප්‍රහාරය"
"air-tight,වායුරෝධක "
"air-worthy,ගුවන් ගමනට සුදුසු"
"air,වාතය "
"airbase,ගුවන් නැව් කඳවුර"
"airborne,අහසින් ගෙන යනු ලබන"
"airbrake,වායුරෝධකය"
"airbrush,තීන්ත ගෑමට යොදා ගනු ලබන උපකරණයකි"
"aircraft,අහස් යානය "
"aircrew,ගුවන් සේවක පිරිස"
"airfoil,වාපත"
"airily,වග විභාගයක් නැතිව"
"airiness,වාතාශ්‍රය ඇති බව"
"airing,එළිමහනේ හැසිරීම "
"airless,නිර්වාත "
"airlift,ගුවනින් ගෙනයනවා"
"airline,ගුවන් ගමන් මාර්ගය "
"airliner,මගී ගුවන්නැව "
"airmail,ගුවන් තැපැල්"
"airman,අහස් නැවියා "
"airplane,ගුවන් නැව "
"airport,ගුවන් නැව්තොට "
"airship,ගුවන් නැව"
"airstrip,ගුවන් ධාවනපථය"
"airtight,වාතරෝධක "
"airway,අහස් යාත්‍රා මාර්ගය"
"airworthiness,ගුවන් යෝග්‍යතාව"
"airy,වාතාශ්‍රය ඇති "
"aisle,දේවස්ථානයක් හෝ එවැනි ගොඩනැගිල්ලක් තුල පැත්තෙන් පිහිටි කොටස "
"ajar,අඩක් වැසුණු "
"akimbo,අත් ඉඟෙහි තබාගෙන"
"akin,නෑකම් ඇති "
"ala,තටුව "
"alabaster,කිරිගරුඬ වැනි "
"alack-a-day,විපතක මහත "
"alack,අහෝ"
"alacritous,උනන්දුව "
"alacrity,උනන්දුව "
"alanine,ප්‍රෝටීන් වල ඇති සහ කෘත්‍රීමව නිපදවන ලද සමාවයවිකයක්"
"alarm,භය "
"alarmed,තැති ගැනුණු "
"alarming,තැති ගන්වන "
"alarmingly,භයජනක ලෙස"
"alarmist,නිකරුනේ භය ඇති කරන "
"alarum,අනතුරු නිවේදනය විශේෂයෙන් හමුදා බලඇණි වලට"
"alas,අහෝ "
"alas,දෙයියෝ සාක්කි"
"alb,පය දක්වා ක්‍රිස්තියානි පූජකයින් අඳින සුදු ඇඳුම"
"albacore,විශාල මත්ස්‍ය විශේෂයක්"
"albatross,මුහුදු ලිහිණි වර්ගයක් "
"albedo,ග්‍රහලෝකයකට හෝ චන්ද්‍රිකාවකට ආලෝකය පතිත වන ප්‍රමාණය සහ පරාවර්තනය වන ප්‍රමාණය අතර අනුපාතය "
"albeit,එතකුදු වුවත් "
"albinism,ඇළි බව "
"albino,ඇළි සතා "
"album,සිතියම් අලවන පොත "
"albumen,බිත්තර සුදු මදය "
"albumin,සරල සල්ෆර් අඩංගු දියරමය ප්‍රෝටීනයක් "
